            bjd              rv           rverr             tel 
  2458036.03767        14.79951         3.40589         HIDESF1 
  2458058.93368        23.49311         2.92555         HIDESF1 
  2458073.86611        19.78435         3.22843         HIDESF1 
  2458092.90132        23.11654         4.46000         HIDESF1 
  2458547.34713        -4.47828         4.48502         HIDESF2 
  2458556.32924        -3.60850         4.91009         HIDESF2 
  2458559.32727        -7.58905         6.49684         HIDESF2 
  2458577.32040         4.46745         3.48358         HIDESF2 
  2458578.33300         4.86369         4.85547         HIDESF2 
  2458580.28008         1.07886         4.16857         HIDESF2 
  2458616.14876        -0.22218         4.72229         HIDESF2 
  2458652.15758        -8.01813         5.35465         HIDESF2 
  2458680.17259        -4.25015         4.94986         HIDESF2 
  2458686.09618        -4.95583         5.53282         HIDESF2 
  2458701.10895         9.32516        10.03781         HIDESF2 
  2458706.01852       -12.86107         5.62804         HIDESF2 
  2458712.02228        -1.10286         5.01245         HIDESF2 
  2458721.05093        -5.18839         5.37821         HIDESF2 
  2458732.95685       -10.51105         5.09542         HIDESF2 
  2458740.93237        -2.95654         4.33798         HIDESF2 
  2458741.96685        -4.32443         4.53925         HIDESF2 
  2458743.07054        -6.29033         5.80457         HIDESF2 
  2458751.98594         1.85960         4.22884         HIDESF2 
  2458779.03032        -7.22001         8.56640         HIDESF2 
  2458824.90490        -4.97781         8.49682         HIDESF2 
  2458826.89370        -9.81552         4.41988         HIDESF2 
  2458831.89125        -1.10561         5.24367         HIDESF2 
  2458832.88504       -16.80074         6.61381         HIDESF2 
  2458898.35048        16.70865         4.45319         HIDESF2 
  2458900.36856        18.16230         5.66339         HIDESF2 
  2458925.31036        20.95837         4.99889         HIDESF2 
  2458927.34704        14.66944         5.09254         HIDESF2 
  2458929.29944        24.33919         5.22213         HIDESF2 
  2458945.30240        19.60735         3.80421         HIDESF2 
  2458947.27021        14.89057         5.75044         HIDESF2 
  2458949.21040        22.06881         6.34756         HIDESF2 
  2458950.23333        12.68485         4.82383         HIDESF2 
  2458955.23651        -0.70382         4.49597         HIDESF2 
  2458956.32740         6.18568         9.95027         HIDESF2 
  2458963.28271         3.19695         4.79036         HIDESF2 
  2458965.20371         8.35290         4.73569         HIDESF2 
  2458966.20491         7.41398         5.77614         HIDESF2 
  2458983.13547        12.24436         4.29340         HIDESF2 
  2458990.12698        15.97653         7.48645         HIDESF2 
  2458993.26865        12.54255         4.70444         HIDESF2 
  2458994.27249        10.03652         5.51844         HIDESF2 
  2458999.12370         9.44032         6.11648         HIDESF2 
  2459077.11977        -7.94909         5.16096         HIDESF2 
  2459114.02827        -2.01227         6.16663         HIDESF2 
  2459118.98705         6.52232         4.54677         HIDESF2 
  2459124.97088        -1.40458         4.50571         HIDESF2 
  2459187.87035         6.83049         4.35230         HIDESF2 
  2459191.87228         3.76948         4.87136         HIDESF2 
  2459203.86007        -8.45574         4.17495         HIDESF2 
  2459280.32886        -4.47737        10.37628         HIDESF2 
  2459326.26974       -16.63364         6.09170         HIDESF2 
  2459330.17984        -8.12757         6.64909         HIDESF2 
  2459338.20661       -20.33445         7.56960         HIDESF2 
  2459366.15802       -15.18332         7.79754         HIDESF2 
  2459368.20544       -16.79423         5.96676         HIDESF2 
  2459375.24852       -23.06555         8.09825         HIDESF2 
  2459380.21095       -12.89988         7.22431         HIDESF2 
  2459385.25184       -18.86170         5.61748         HIDESF2 
  2459386.20395       -11.29869         6.17342         HIDESF2 
